site,sensor,isodate,product,saa,sza,vza,vaa,ac_aot_550,ac_model,ac_band1,ac_band2,wind,rhot_443,rhot_492,rhot_560,rhot_665,rhot_704,rhot_740,rhot_783,rhot_833,rhot_865,rhot_945,rhot_1373,rhot_1614,rhot_2202,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865,rhos_insitu_443,rhos_insitu_492,rhos_insitu_560,rhos_insitu_665,rhos_insitu_704,rhos_insitu_740,rhos_insitu_783,rhos_insitu_833,rhos_insitu_865
VEIT,S2A_MSI,2023-07-02T10:08:44,S2A_MSIL1C_20230702T100601_N0509_R022_T33TUL_20230702T135151,149.872985836344,24.9732876044887,7.973857952986062,286.12626719459263,0.45585895,ACOLITE-LUT-202110-MOD1,8A,8,0.8650008152530425,0.1432,0.11084445,0.07154444,0.04272222,0.035733335,0.032622226,0.030299999,0.025988888,0.025022222,0.0061,0.0005,0.009877778,0.006066667,0.039607722,0.037022337,0.021998366,0.0062405895,0.0042700935,0.003976507,0.0032465807,0.0038301696,0.0017804843,0.02222146298755345,0.02246873306923036,0.013749915571863097,0.0024774169305154556,0.0017088326687000554,0.0010456196608534384,0.0009801891842834548,0.0008948478605587725,0.0008322915428482182
VEIT,S2A_MSI,2023-06-19T10:00:34,S2A_MSIL1C_20230619T100031_N0509_R122_T33TUL_20230619T134108,145.917876999323,25.2972039941098,6.973161901993085,105.79034276738831,0.28948483,ACOLITE-LUT-202110-MOD1,8A,8,1.9068396389783564,0.1375,0.10212222,0.06598889,0.03635556,0.029900001,0.026611112,0.024033332,0.01971111,0.0189,0.0062,0.001,0.0045666667,0.0025444445,0.032920197,0.029651366,0.021520417,0.0062754788,0.004797754,0.00422878,0.0033490804,0.003126192,0.0019021543,0.01560670882750116,0.01882444175782173,0.016787116957045337,0.004095712746463682,0.0027113801436206677,0.0012977061544552407,0.0012104404542553676,0.0010769211731818668,0.0009512547321119606
O1BE,S2A_MSI,2022-04-23T11:04:49,S2A_MSIL1C_20220423T105621_N0400_R094_T31UDS_20220423T132650,163.743363882289,39.2826720544895,5.337755077050963,279.85958303866477,0.74699974,ACOLITE-LUT-202110-MOD2,8A,8,8.630348110409729,0.16153333,0.14445554,0.1375111,0.11422222,0.12007778,0.083655566,0.08286667,0.06843334,0.06341112,0.016133334,0.00086666667,0.024144445,0.017766666,0.032770682,0.055246886,0.09095641,0.07274542,0.0848529,0.040392533,0.039835542,0.029263467,0.019615892,0.05006379007051695,0.07143144938806399,0.10977646417557888,0.08769533244854712,0.09628063810527354,0.04695874141295898,0.04357284697428705,0.03618937564121903,0.02537869529039975
VEIT,S2B_MSI,2022-09-27T10:00:26,S2B_MSIL1C_20220927T100029_N0400_R122_T33TUL_20220927T120416,163.13223596771,48.5482983703652,6.969671702776699,106.8184432072327,0.15764086,ACOLITE-LUT-202110-MOD1,8A,7,1.3343231247351737,0.1451,0.10936667,0.07061111,0.03288889,0.026733335,0.021977777,0.021144444,0.015988888,0.014844444,0.0064,0.0007,0.0039777774,0.0032333331,0.044409912,0.04178615,0.031313855,0.006003974,0.0043942654,0.0023727512,0.0034141252,0.0019476134,0.0010172284,0.027194884460864474,0.03343355786901546,0.02754588887635773,0.005183961011435051,0.0031960731427530323,0.0012245724871385642,0.0011063488056954475,0.0009686229808166028,0.0008032592283304226
O1BE,S2A_MSI,2022-07-29T10:54:44,S2A_MSIL1C_20220729T104631_N0400_R051_T31UDS_20220729T160922,154.298760042004,34.3833912902705,8.111752673289091,104.98288356825172,0.481841,ACOLITE-LUT-202110-MOD1,8A,1,4.286088197694031,0.14716667,0.12455556,0.11579999,0.07738889,0.071899995,0.04236667,0.040688887,0.032955557,0.031488888,0.0091,0.0008,0.010411111,0.0075111114,0.02412037,0.043571122,0.07949698,0.046742037,0.047116734,0.011354958,0.0117236115,0.008747732,0.0059949574,0.04107730975335394,0.06196275246014951,0.09448224728596163,0.05999461677335424,0.055561309160371955,0.01947466921871016,0.018305457052654524,0.015053117900332594,0.010642701849780221
VEIT,S2A_MSI,2022-01-28T10:12:58,S2A_MSIL1C_20220128T101301_N0400_R022_T33TUL_20220128T121600,163.714436679715,65.237154214804,7.941492092707684,286.1266010854196,0.324991,ACOLITE-LUT-202110-MOD1,6,7,1.7319875589596978,0.1744,0.13434444,0.08794444,0.061966665,0.05508889,0.049700003,0.046055555,0.0411,0.039855555,0.0176,0.0014,0.014711112,0.0088,0.035026543,0.031976018,0.020662552,0.010432528,0.007827617,0.0060359803,0.006214101,0.0072069657,0.00656603,0.018091773224016835,0.021404521350042997,0.01694988062451075,0.005132540169035674,0.0037693365822138378,0.002435802623272034,0.0022151122344853187,0.0020046118988722235,0.0018252068033274118
VEIT,S2B_MSI,2022-10-20T10:09:38,S2B_MSIL1C_20221020T100939_N0400_R022_T33TUL_20221020T121314,169.929393766999,56.4769640874827,7.950892721564163,285.31125669183285,0.25110006,ACOLITE-LUT-202110-MOD1,8A,7,1.683177058116284,0.1474,0.10937777,0.07676667,0.043066666,0.035777777,0.031744447,0.02792222,0.023288887,0.023144443,0.0071,0.0012,0.0069333334,0.0043444447,0.031241681,0.026240272,0.026012247,0.0069572562,0.0054264385,0.0049613696,0.0019663742,0.0028339648,0.0023483823,0.014335079001162739,0.017628363484037592,0.02093704255590503,0.0050781905264747585,0.0035781085583975053,0.001482340048181318,0.00130259177812577,0.0011430946557067026,0.0009711118394839044
VEIT,S2B_MSI,2022-07-29T09:57:47,S2B_MSIL1C_20220729T095559_N0400_R122_T33TUL_20220729T104518,147.725199677966,30.1010017300353,6.9743002652464785,106.83380524443538,0.17833184,ACOLITE-LUT-202110-MOD1,8A,8,0.979747876192016,0.1331,0.09491112,0.05668889,0.02961111,0.024488889,0.021366667,0.019911112,0.0156,0.014622222,0.0058,0.0003,0.0032666668,0.0016444444,0.033812925,0.027156662,0.0157579,0.0043918584,0.004115253,0.003863366,0.0036443556,0.0031162195,0.0020219786,0.016933594969078487,0.01744087504466238,0.009881746169703406,0.001279915138058358,0.000897941169593573,0.0005908311942247915,0.0005445442511548172,0.0004994726815642221,0.00047341350310599984
O1BE,S2A_MSI,2022-04-20T10:46:25,S2A_MSIL1C_20220420T104631_N0400_R051_T31UDS_20220420T164234,160.122348335475,40.7925346043384,8.098217275640083,105.00958326074662,0.3092724,ACOLITE-LUT-202110-MOD1,1,2,6.559879584306557,0.13146667,0.1025,0.09553333,0.063933335,0.071833335,0.041722223,0.03987778,0.033033334,0.027499998,0.009733333,0.0013333333,0.008188889,0.0053111115,0.012544872,0.0224579,0.058781605,0.036218226,0.051223963,0.017211536,0.01763305,0.014573117,0.008028649,0.02939831359222471,0.04092034327028044,0.07483564258723992,0.05101399801609016,0.06358957089204824,0.02709830610218819,0.024316027924978174,0.02038510692705398,0.01482991335972175
VEIT,S2B_MSI,2023-03-09T10:13:52,S2B_MSIL1C_20230309T100749_N0509_R022_T33TUL_20230309T152923,160.901998285497,51.8072212269545,7.981530856927558,285.22787281286577,0.22361481,ACOLITE-LUT-202110-MOD1,8A,8,2.719343382139322,0.1398,0.10323333,0.06313334,0.035633333,0.03061111,0.027266668,0.024844445,0.019900002,0.019066665,0.0079,0.0014,0.005711111,0.0030222223,0.035775453,0.030731149,0.01768932,0.0045567965,0.0040861038,0.0039165323,0.0034291157,0.002509,0.002035398,0.01905374917440389,0.019900378594235133,0.012796198305720556,0.0027239616473152084,0.0020094746614600593,0.001316877897815865,0.0011874854229315137,0.0010716162972977748,0.000985440686232518
